ts,attraction_id,wait_minutes,is_open
2026-09-01 10:31,leagues_20k,25,1
2026-09-01 10:31,frozen,200,1
2026-09-01 10:31,aquatopia,60,1
2026-09-01 10:31,ariel_playground,0,1
2026-09-01 10:31,big_city,0,0
2026-09-01 10:31,blowfish_balloon,20,1
2026-09-01 10:31,electric_railway,15,1
2026-09-01 10:31,tinkerbell,40,1
2026-09-01 10:31,flounder_coaster,15,1
2026-09-01 10:31,fortress,0,1
2026-09-01 10:31,indiana_jones,0,0
2026-09-01 10:31,jasmine_carpet,15,1
2026-09-01 10:31,journey_center,90,1
2026-09-01 10:31,jumpin_jellyfish,15,1
2026-09-01 10:31,nemo_searider,30,1
2026-09-01 10:31,peter_pan,50,1
2026-09-01 10:31,raging_spirits,50,1
2026-09-01 10:31,rapunzel,50,1
2026-09-01 10:31,scuttle_scooters,15,1
2026-09-01 10:31,sindbad,5,1
2026-09-01 10:31,soaring,160,1
2026-09-01 10:31,magic_lamp,15,1
2026-09-01 10:31,tower_terror,100,1
2026-09-01 10:31,toy_story,90,1
2026-09-01 10:31,turtle_talk,20,1
2026-09-01 12:35,leagues_20k,15,1
2026-09-01 12:35,frozen,120,1
2026-09-01 12:35,aquatopia,40,1
2026-09-01 12:35,ariel_playground,0,1
2026-09-01 12:35,big_city,0,0
2026-09-01 12:35,blowfish_balloon,25,1
2026-09-01 12:35,electric_railway,10,1
2026-09-01 12:35,tinkerbell,40,1
2026-09-01 12:35,flounder_coaster,20,1
2026-09-01 12:35,fortress,0,1
2026-09-01 12:35,indiana_jones,0,0
2026-09-01 12:35,jasmine_carpet,20,1
2026-09-01 12:35,journey_center,200,1
2026-09-01 12:35,jumpin_jellyfish,10,1
2026-09-01 12:35,nemo_searider,20,1
2026-09-01 12:35,peter_pan,40,1
2026-09-01 12:35,raging_spirits,50,1
2026-09-01 12:35,rapunzel,40,1
2026-09-01 12:35,scuttle_scooters,15,1
2026-09-01 12:35,sindbad,15,1
2026-09-01 12:35,soaring,120,1
2026-09-01 12:35,magic_lamp,15,1
2026-09-01 12:35,tower_terror,60,1
2026-09-01 12:35,toy_story,80,1
2026-09-01 12:35,turtle_talk,20,1
2026-09-01 17:54,leagues_20k,10,1
2026-09-01 17:54,frozen,140,1
2026-09-01 17:54,aquatopia,50,1
2026-09-01 17:54,ariel_playground,0,1
2026-09-01 17:54,big_city,5,1
2026-09-01 17:54,blowfish_balloon,15,1
2026-09-01 17:54,electric_railway,15,1
2026-09-01 17:54,tinkerbell,30,1
2026-09-01 17:54,flounder_coaster,20,1
2026-09-01 17:54,fortress,0,1
2026-09-01 17:54,indiana_jones,0,0
2026-09-01 17:54,jasmine_carpet,15,1
2026-09-01 17:54,journey_center,120,1
2026-09-01 17:54,jumpin_jellyfish,10,1
2026-09-01 17:54,nemo_searider,20,1
2026-09-01 17:54,peter_pan,40,1
2026-09-01 17:54,raging_spirits,60,1
2026-09-01 17:54,rapunzel,30,1
2026-09-01 17:54,scuttle_scooters,15,1
2026-09-01 17:54,sindbad,10,1
2026-09-01 17:54,soaring,160,1
2026-09-01 17:54,magic_lamp,15,1
2026-09-01 17:54,tower_terror,100,1
2026-09-01 17:54,toy_story,120,1
2026-09-01 17:54,turtle_talk,20,1
